Company Name,Industry,Symbol,Series,ISIN Code,Index Name,Company
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ind_nifty50list,
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ind_nifty50list,
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,ind_nifty50list,
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ind_nifty50list,
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,ind_nifty50list,
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,ind_nifty50list,
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,ind_nifty50list,
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,ind_nifty50list,
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,ind_nifty50list,
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,ind_nifty50list,
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,ind_nifty50list,
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,ind_nifty50list,
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,ind_nifty50list,
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,ind_nifty50list,
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,ind_nifty50list,
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,ind_nifty50list,
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,ind_nifty50list,
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,ind_nifty50list,
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,ind_nifty50list,
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,ind_nifty50list,
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,ind_nifty50list,
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,ind_nifty50list,
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,ind_nifty50list,
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,ind_nifty50list,
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,ind_nifty50list,
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,ind_nifty50list,
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,ind_nifty50list,
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,ind_nifty50list,
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,ind_nifty50list,
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,ind_nifty50list,
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,ind_nifty50list,
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,ind_nifty50list,
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,ind_nifty50list,
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,ind_nifty50list,
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,ind_nifty50list,
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,ind_nifty50list,
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,ind_nifty50list,
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,ind_nifty50list,
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,ind_nifty50list,
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013,ind_nifty50list,
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,ind_nifty50list,
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,ind_nifty50list,
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,ind_nifty50list,
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,ind_nifty50list,
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,ind_nifty50list,
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,ind_nifty50list,
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,ind_nifty50list,
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,ind_nifty50list,
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,ind_nifty50list,
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,ind_nifty50list,
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,ind_niftynext50list,
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,ind_niftynext50list,
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ind_niftynext50list,
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,ind_niftynext50list,
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ind_niftynext50list,
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,ind_niftynext50list,
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,ind_niftynext50list,
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,ind_niftynext50list,
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,ind_niftynext50list,
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,ind_niftynext50list,
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,ind_niftynext50list,
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,ind_niftynext50list,
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,ind_niftynext50list,
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,ind_niftynext50list,
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,ind_niftynext50list,
DLF Ltd.,Realty,DLF,EQ,INE271C01023,ind_niftynext50list,
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,ind_niftynext50list,
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,ind_niftynext50list,
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,ind_niftynext50list,
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,ind_niftynext50list,
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,ind_niftynext50list,
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,ind_niftynext50list,
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,ind_niftynext50list,
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,ind_niftynext50list,
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,ind_niftynext50list,
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,ind_niftynext50list,
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,ind_niftynext50list,
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,ind_niftynext50list,
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,ind_niftynext50list,
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,ind_niftynext50list,
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,ind_niftynext50list,
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,ind_niftynext50list,
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,ind_niftynext50list,
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,ind_niftynext50list,
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,ind_niftynext50list,
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,ind_niftynext50list,
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,ind_niftynext50list,
